site_num,date_local,pm_tot,site
110,2007-11-06,12.2,bronx
110,2007-11-07,5.4,bronx
110,2007-11-08,10.5,bronx
110,2007-11-09,13.5,bronx
110,2007-11-10,9.3,bronx
110,2007-11-11,9.6,bronx
110,2007-11-12,21,bronx
110,2007-11-15,15.5,bronx
110,2007-11-16,4,bronx
110,2007-11-17,7.1,bronx
110,2007-11-18,5.5,bronx
110,2007-11-19,6,bronx
110,2007-11-20,12.8,bronx
110,2007-11-21,30.9,bronx
110,2007-11-22,25.5,bronx
110,2007-11-23,4.8,bronx
110,2007-11-24,8.5,bronx
110,2007-11-25,17.6,bronx
110,2007-11-26,22.7,bronx
110,2007-11-27,6.9,bronx
110,2007-11-28,6.5,bronx
110,2007-11-29,11.4,bronx
110,2007-11-30,12.2,bronx
110,2007-12-01,6.9,bronx
110,2007-12-02,14.4,bronx
110,2007-12-03,11.9,bronx
110,2007-12-04,3.7,bronx
110,2007-12-05,10.5,bronx
110,2007-12-06,7.8,bronx
110,2007-12-07,24.1,bronx
110,2007-12-08,29,bronx
110,2007-12-09,24,bronx
110,2007-12-10,19.3,bronx
110,2007-12-11,19,bronx
110,2007-12-12,12.4,bronx
110,2007-12-13,8.2,bronx
110,2007-12-14,19.8,bronx
110,2007-12-15,5.6,bronx
110,2007-12-16,5.7,bronx
110,2007-12-17,4.3,bronx
110,2007-12-18,17,bronx
110,2007-12-19,21.8,bronx
110,2007-12-20,21.4,bronx
110,2007-12-21,10.2,bronx
110,2007-12-22,8.8,bronx
110,2007-12-23,5.9,bronx
110,2007-12-24,5.8,bronx
110,2007-12-25,9.5,bronx
110,2007-12-26,14.3,bronx
110,2007-12-27,17.8,bronx
110,2007-12-28,18.8,bronx
110,2007-12-29,9.8,bronx
110,2007-12-30,13.3,bronx
110,2007-12-31,12.6,bronx
110,2007-01-03,13.3,bronx
110,2007-01-12,16,bronx
110,2007-01-15,23.5,bronx
110,2007-01-18,20.6,bronx
110,2007-01-21,8.1,bronx
110,2007-01-24,13.5,bronx
110,2007-01-27,19,bronx
110,2007-02-05,8.2,bronx
110,2007-02-08,11.5,bronx
110,2007-02-11,15.2,bronx
110,2007-02-14,9.8,bronx
110,2007-02-17,14.7,bronx
110,2007-02-20,25.4,bronx
110,2007-02-23,5.3,bronx
110,2007-02-26,15.5,bronx
110,2007-03-01,14.1,bronx
110,2007-03-04,5.7,bronx
110,2007-03-07,14.5,bronx
110,2007-03-10,23.5,bronx
110,2007-03-16,7.5,bronx
110,2007-03-19,10.2,bronx
110,2007-03-22,19.7,bronx
110,2007-03-25,8.4,bronx
110,2007-03-28,4.5,bronx
110,2007-03-31,5.2,bronx
110,2007-04-03,19.8,bronx
110,2007-04-06,5.8,bronx
110,2007-04-09,6.3,bronx
110,2007-04-12,10.7,bronx
110,2007-04-15,8.8,bronx
110,2007-04-18,4.7,bronx
110,2007-04-21,11.6,bronx
110,2007-04-24,9.2,bronx
110,2007-04-27,13,bronx
110,2007-04-30,7.2,bronx
110,2007-05-03,5.8,bronx
110,2007-05-06,3.4,bronx
110,2007-05-09,8.7,bronx
110,2007-05-12,9.4,bronx
110,2007-05-15,17.2,bronx
110,2007-05-18,5,bronx
110,2007-05-21,6.3,bronx
110,2007-05-24,14.1,bronx
110,2007-05-30,14.7,bronx
110,2007-06-02,25,bronx
110,2007-06-05,19,bronx
110,2007-06-08,33.2,bronx
110,2007-06-11,9.2,bronx
110,2007-06-14,5.8,bronx
110,2007-06-17,21.3,bronx
110,2007-06-20,10.7,bronx
110,2007-06-26,38,bronx
110,2007-06-29,8.6,bronx
110,2007-07-02,3,bronx
110,2007-07-05,22.7,bronx
110,2007-07-08,30.1,bronx
110,2007-07-14,18.9,bronx
110,2007-07-17,24.1,bronx
110,2007-07-20,9.6,bronx
110,2007-07-23,5.8,bronx
110,2007-07-26,11.8,bronx
110,2007-07-29,32.8,bronx
110,2007-08-01,18.1,bronx
110,2007-08-04,22.6,bronx
110,2007-08-07,35.8,bronx
110,2007-08-10,2.5,bronx
110,2007-08-16,30,bronx
110,2007-08-22,5.1,bronx
110,2007-08-25,35.3,bronx
110,2007-08-28,10.9,bronx
110,2007-08-31,15.1,bronx
110,2007-09-03,20,bronx
110,2007-09-06,8.8,bronx
110,2007-09-09,8.1,bronx
110,2007-09-12,5.1,bronx
110,2007-09-15,4.6,bronx
110,2007-09-18,7.3,bronx
110,2007-09-21,26,bronx
110,2007-09-24,6.2,bronx
110,2007-09-27,17,bronx
110,2007-09-30,5.9,bronx
110,2007-10-06,22.8,bronx
110,2007-10-09,11.9,bronx
110,2007-10-12,3.8,bronx
110,2007-10-15,6.9,bronx
110,2007-10-18,21.9,bronx
110,2007-10-21,12.2,bronx
110,2007-10-24,4.2,bronx
110,2007-10-27,7,bronx
110,2007-10-30,14.7,bronx
110,2007-11-02,5.5,bronx
110,2007-11-05,12.2,bronx
110,2007-11-08,10.7,bronx
110,2007-11-11,9.1,bronx
110,2007-11-14,32.5,bronx
110,2007-11-17,7.2,bronx
110,2007-11-20,13,bronx
110,2007-11-23,4.3,bronx
110,2007-11-26,21.6,bronx
110,2007-11-29,11.3,bronx
110,2007-12-02,15,bronx
110,2007-12-05,10.2,bronx
110,2007-12-08,28.2,bronx
110,2007-12-11,19.1,bronx
110,2007-12-14,19.5,bronx
110,2007-12-17,4.4,bronx
110,2007-12-20,21.1,bronx
110,2007-12-23,6.2,bronx
110,2007-12-26,14.1,bronx
62,2007-01-03,12.4,manhattan
62,2007-01-06,7.6,manhattan
62,2007-01-09,8.9,manhattan
62,2007-01-12,22.7,manhattan
62,2007-01-15,20.8,manhattan
62,2007-01-18,20.2,manhattan
62,2007-01-21,6.9,manhattan
62,2007-01-24,17,manhattan
62,2007-01-27,16.9,manhattan
62,2007-01-30,18.7,manhattan
62,2007-02-02,34.7,manhattan
62,2007-02-05,10,manhattan
62,2007-02-08,14.1,manhattan
62,2007-02-11,14.9,manhattan
62,2007-02-14,12.1,manhattan
62,2007-02-17,15.8,manhattan
62,2007-02-20,25,manhattan
62,2007-02-23,5.8,manhattan
62,2007-02-26,19,manhattan
62,2007-03-01,18.4,manhattan
