"","date_local","aluminum_pm2_5_lc_88104","arsenic_pm2_5_lc_88103","barium_pm2_5_lc_88107","bromine_pm2_5_lc_88109","cadmium_pm2_5_lc_88110","calcium_pm2_5_lc_88111","chromium_pm2_5_lc_88112","copper_pm2_5_lc_88114","iron_pm2_5_lc_88126","lead_pm2_5_lc_88128","magnesium_pm2_5_lc_88140","manganese_pm2_5_lc_88132","nickel_pm2_5_lc_88136","selenium_pm2_5_lc_88154","silicon_pm2_5_lc_88165","sulfate_pm2_5_lc_88403","sulfur_pm2_5_lc_88169","titanium_pm2_5_lc_88161","total_nitrate_pm2_5_lc_88306","vanadium_pm2_5_lc_88164","zinc_pm2_5_lc_88167"
"45",2001-09-07,0,0.001,0.034,0.00516,0,0.022,0,0.00249,0.0726,0.0056,0.001,0.0016,0.0118,0.002,0.0518,5.38,1.81,0.0042,2.68,0.0102,0.0226
"46",2001-09-10,0.011,0.001,0.033,0.001,0,0.025,0.00117,0.00098,0.0577,0,0.018,0.00235,0.00488,0,0.0306,1.64,0.567,0.0024,0.309,0.00694,0.0054
"47",2001-09-22,0,0,0.014,0.00526,0.001,0.0171,0,0.00178,0.0504,0.0071,0,0.0026,0.00671,0.002,0.041,11.6,2.82,0.0028,3.22,0.00901,0.0172
"48",2001-10-01,0,0,0.014,0.00422,0,0.0624,0.001,0.00873,0.189,0.0087,0.0163,0.0022,0.0198,0.001,0.0694,1.11,0.421,0.0074,0.559,0.00924,0.0338
"49",2001-10-04,0.0064,0.002,0.018,0.00863,0.002,0.0703,0.001,0.00441,0.188,0.0104,0,0.0068,0.00793,0.003,0.151,10,3.44,0.0106,3.51,0.00807,0.0409
"50",2001-10-10,0.0284,0.00088,0.0084,0.00529,0,0.0434,0.00117,0.0025,0.141,0.00748,0,0.00346,0.0152,0.00271,0.106,1.75,0.866,0.00526,1.54,0.0101,0.0414
"51",2001-10-13,0.0182,0.00145,0.0077,0.00708,0,0.0531,0.00127,0.00405,0.138,0.00548,0,0.00335,0.0129,0.00139,0.102,4.33,1.76,0.00315,2.3,0.00852,0.0461
"52",2001-10-16,0.0157,0.00088,0.0127,0.0034,0.003,0.0442,0.00092,0.00182,0.12,0.00276,0.0149,0.00358,0.0097,0.00083,0.0787,2.22,1.02,0.00207,0.721,0.00308,0.032
"53",2001-10-19,0.017,0.0026,0.055,0.00455,0,0.088,0.00141,0.0099,0.274,0.0177,0.027,0.00854,0.0252,0.00277,0.133,2.92,1.1,0.0095,1.55,0.0122,0.089
"54",2001-10-22,0.024,0.001,0.055,0.00652,0.002,0.052,0.001,0.00389,0.12,0.008,0,0.00249,0.00887,0.00277,0.096,4.25,1.65,0.0025,2.32,0.00699,0.0224
