"Date","aluminum","ammonium ion","antimony","arsenic","barium","bromine","cadmium","calcium","chlorine","chromium","cobalt","copper","elemental carbon","iron","lead","magnesium","manganese","nickel","organic carbon","potassium ion","selenium","silicon","sodium","sulfur","titanium","total nitrate","vanadium","zinc"
"2002-10-11",0,0.193,0.012,0,0.0066,0.00243,0.001,0.021,0,0.001,0,0.005,NA,0.0374,0.001,0,0,0.00096,NA,0,0.001,0.0284,0.038,0.311,0.003,0.36,0,0.004
"2002-10-14",0.007,0.355,0.001,0,0.0096,0.00102,0.0042,0.022,0,0,0,0.006,NA,0.0598,0.003,0.0226,0,0.00406,NA,0,0.001,0.0526,0.054,0.499,0.004,0.356,0.001,0.008
"2002-10-17",0.012,0.992,0,0,0.031,0.00094,0,0.033,0.0174,0.001,0.00169,0.00366,NA,0.1,0.0032,0,0.00225,0.021,NA,0,0,0.0495,0.003,0.713,0.004,1.48,0.00539,0.0328
"2002-10-20",0,1.09,0.003,0.00039,0.0046,0.00146,0,0.0163,0.001,0,0.00059,0.00229,NA,0.0652,0.00472,0,0.00088,0.0088,NA,0,0,0.0368,0,0.838,0.00103,0.962,0.00167,0.0111
"2002-10-26",0,0.807,0,0,0.0116,0.00096,0,0.014,0,0,0,0.006,NA,0.0401,0.0034,0,0,0.00669,NA,0,0.001,0.0553,0,0.739,0,0.945,0.001,0.007
"2002-11-01",0.012,1.9,0.003,0.0013,0.02,0.00244,0.001,0.058,0.017,0.00117,0.00211,0.00572,NA,0.123,0.0067,0,0.00333,0.0523,NA,0,0.00183,0.0646,0.062,1.1,0.0053,3.04,0.0113,0.072
"2002-11-04",0.0235,2.92,0,0.00179,0.0111,0.0047,0,0.0967,0.105,0,0.00438,0.00622,NA,0.176,0.00687,0,0.00376,0.051,NA,0,0.00112,0.117,0,1.48,0.00284,4.4,0.00983,0.0872
"2002-11-07",0.0057,0.691,0.012,0.00039,0.0044,0.00139,0,0.0392,0.0464,0.00072,0.00174,0.00323,NA,0.0977,0.00435,0,0.00135,0.0235,NA,0,0.00073,0.0508,0,0.645,0.00271,0.651,0.0037,0.0362
"2002-11-10",0,1.43,0.017,9e-04,0.0093,0.00521,0.0055,0.046,0.605,0,0,0.004,NA,0.0446,0.001,0,0,0.00521,NA,0,0,0.049,0,1.55,0.001,1.24,0.005,0.008
"2002-11-13",0.0121,1.1,0,0,0.0052,0.0014,0,0.058,0,0.0011,0,0.004,NA,0.0631,0.0037,0.0285,0,0.0217,NA,0,0,0.0564,0.104,0.857,0.006,1.42,0.0039,0.021
"2002-11-16",0.002,0.842,0.007,0.00094,0.0037,0.00362,0.003,0.0282,0.0563,0.00098,0.00101,0.00375,NA,0.0836,0.00285,0.004,0.00242,0.00746,NA,0.071,0.0011,0.0543,0,0.815,0.0022,1.03,0.0042,0.0223
"2002-11-19",0.018,2.21,0.002,0.0013,0.004,0.00853,0.001,0.058,0.116,0.00122,0.0015,0.00385,NA,0.138,0.0193,0,0.00234,0.029,NA,0,0.00169,0.0547,0.084,1.21,0.0063,3.27,0.00736,0.0893
"2002-11-22",0.01,2.27,0,0.001,0.033,0.00506,0.001,0.025,0.063,0.00239,0,0.00295,NA,0.0728,0.0035,0.013,0.00141,0.0125,NA,0,0.001,0.027,0.084,1.29,0.0023,2.96,0.00647,0.027
"2002-11-25",0.025,4.11,0.005,0.0027,0.043,0.00695,0,0.11,0.172,0.001,0.00072,0.0104,NA,0.292,0.0094,0.02,0.00546,0.0468,NA,0.061,0.00268,0.0847,0.187,2.1,0.0086,5.72,0.0132,0.0864
"2002-11-28",0.002,1.51,0.005,0,0.007,0.00338,0,0.021,0.0284,0.001,0,0.00122,NA,0.0462,0.0029,0,0.00197,0.0147,NA,0,0.00234,0.027,0.017,0.659,0.0028,3.36,0.00291,0.0191
"2002-12-01",0,0.509,0.003,0,0.015,0.00127,0,0.0149,0.0083,0.001,0,0.001,NA,0.0348,0.0044,0.0102,0,0.0161,NA,0,0,0.0305,0.007,0.397,0.0023,0.437,0.0022,0.00727
"2002-12-04",0,1.98,0.005,0.0022,0.0053,0.00268,0,0.056,0.0495,0,0.00301,0.006,NA,0.101,0.0041,0,0,0.0467,NA,0,0,0.0888,0.076,0.962,0.003,3.89,0.0085,0.036
"2002-12-07",0.0102,4.78,0.007,0.0024,0.02,0.0105,0,0.0574,0.0403,0.001,0,0.00497,NA,0.112,0.0098,0,0.0049,0.0411,NA,0.048,0.005,0.065,0,2.03,0.0056,8.6,0.0133,0.0584
"2002-12-10",0,5.86,0.009,0.0018,0.0147,0.0155,0.0059,0.165,2.67,0.0022,0.00455,0.021,NA,0.325,0.0178,0,0,0.0973,NA,0.052,0.0091,0.263,0,1.9,0.013,9.53,0.0215,0.118
"2002-12-13",0,2.51,0.015,0.0017,0.0092,0.00428,0,0.127,0.134,0.0014,0.00198,0.01,NA,0.121,0.0052,0,0,0.0307,NA,0,0.001,0.119,0,1.18,0.007,4.4,0.0098,0.03
"2002-12-16",0.004,1.74,0.004,0,0.031,0.00272,0.001,0.038,0.0349,0,0.00112,0.00249,NA,0.0877,0.0042,0.012,0.00286,0.0307,NA,0.026,0.00192,0.042,0.103,1.07,0.0037,2.83,0.00675,0.0415
