date,pm25,bc,Na,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Ba,Pb
2/26/1999,4.569328006,0.656044817,0.146925934,0.040545014,0.046248729,0.399657994,0.007649168,0.026175189,0.014016106,0.002697106,0.002078098,0.000486363,0,0.027413205,0.002652891,0.005969004,0.00848925,0,0,0,0.006190078
2/27/1999,14.26058882,0.523684455,0.176861156,0.058390947,0.068356116,1.240334079,0.006794433,0.051102373,0.03006022,0.002964844,0.00815332,0.000370605,0,0.081780269,0.009718098,0.00177067,0.010624023,0,0.000164714,0.02470703,0.004941406
2/28/1999,10.01139989,2.11927373,0.268116994,0.046239927,0.031945326,0.785913018,0.002486018,0.029293574,0.018437964,0.002568885,0.007623787,0.000787239,0,0.035094281,0.004764867,0.003811894,0.007333752,0,0,0.012015752,0.00331469
3/1/1999,4.70876027,0.738071974,0.076961141,0.014001477,0.020955231,0.495642902,0.000845727,0.007658526,0.005779133,0.002349241,0.002396226,0.000375879,0,0.018981869,0.00136256,0.00145653,0.003476877,0,0.000375879,0.000281909,0.003288938
3/2/1999,,0.644410593,,,,,,,,,,,,,,,,,,,
3/3/1999,10.30514109,1.140227895,0.14522727,0.040251262,0.050650252,1.330756923,0.001165404,0.027476641,0.022366793,0.002375631,0.003361742,0.000403409,0,0.047871211,0.003092803,0.002465278,0.007933712,0,0,0.015239899,0.009861111
3/4/1999,4.828020468,0.418027867,0.24210658,0.022577799,0.041607659,0.515701126,0.01338541,0.019957162,0.020440972,0.002499685,0.00112889,0.000362857,0,0.027617487,0.001854605,0.003951115,0.003346352,0,0,0.006531435,0.00628953
3/5/1999,,0.456392537,,,,,,,,,,,,,,,,,,,
3/6/1999,5.201203064,0.409903252,0.073758654,0.032819391,0.062013164,0.496029778,0.002379311,0.024472917,0.024699518,0.002077177,0.012538593,0.002643679,0,0.044602647,0.013747133,0.004834157,0.02360428,0,0.002794747,0.004267654,0.004683089
3/7/1999,,0.243731956,,,,,,,,,,,,,,,,,,,
3/8/1999,4.469010208,0.293079383,0.059859125,0.030966983,0.044297828,0.380058763,0.008818069,0.020074074,0.014523878,0.004875873,0.002852905,0.000881807,0.00051871,0.023705044,0.00207484,0.00259355,0.007728778,0,0,0.009492392,0.003164131
3/9/1999,,0.41374233,,,,,,,,,,,,,,,,,,,
3/10/1999,7.457197417,0.662820694,0.087828296,0.034549616,0.056804151,0.490348946,0.001542394,0.028468178,0.02075621,0.004847523,0.005067865,0.000352547,0.00026441,0.041468352,0.005640754,0.003966155,0.009034019,0,0,0.010532345,0.002423761
3/11/1999,8.097540658,,0.154533084,0.047548641,0.065543829,0.456833438,0.002020347,0.02668738,0.019216793,0.003054014,0.004557528,0.000563818,0,0.036883086,0.004698482,0.001832408,0.01071254,0,0,0,0.005873103
3/12/1999,5.440684554,0.703713177,0.066839618,0.005903951,0.004826587,0.391470721,0.001249741,0.016936151,0.009136041,0.001120458,0.002844239,0.000775702,0,0.018789216,0.00370613,0,0.005128249,0,0.000689512,0.001637592,0.000344756
